mp_id,nom,parti,axe_economie,axe_societal,patrimoine_classe,V001,V002,V003,V004,V005,V006,V007,V008
1,Camille Bernard,RE,2,-1,C,P,P,P,C,P,P,A,P
2,Hugo Legrand,RN,4,4,B,C,C,C,P,C,A,C,N
3,Ines Morel,LFI,-5,-3,A,C,C,P,C,C,P,P,C
4,Yanis Dubois,LR,2,3,E,P,C,C,P,P,C,A,P
5,Sarah Nguyen,PS,-2,-2,B,C,P,P,C,P,P,A,C
6,Nolan Petit,EELV,-3,-4,B,C,P,P,C,P,C,P,C
7,Maya Diallo,MoDem,1,-1,C,P,P,P,C,P,P,N,P
8,Arthur Cohen,Horizons,3,1,D,P,P,C,P,P,P,A,P
9,Lina Garcia,RN,3,4,B,C,C,C,P,C,N,C,C
10,Mehdi Benali,LFI,-5,-2,A,C,C,P,C,C,P,P,N
11,Chloe Martin,RE,1,-2,C,P,P,P,C,P,A,A,P
12,Baptiste Rousseau,LR,2,2,D,P,C,C,P,P,C,N,P
13,Aicha Traore,PS,-2,-1,B,C,P,P,C,P,P,A,C
14,Noe Lefevre,EELV,-3,-5,A,C,P,P,C,P,C,P,C
15,Emma Fournier,RE,2,-1,E,P,P,P,P,P,P,A,P
16,Lucas Girard,RN,4,4,C,C,C,C,P,C,A,N,C
17,Sofia Lopez,MoDem,1,-2,B,P,P,P,C,P,P,A,P
18,Rayan Haddad,Horizons,3,1,D,P,P,C,P,P,P,N,P
19,Manon Perrin,LR,1,2,C,P,C,C,P,P,C,A,P
20,Jules Lambert,PS,-1,-2,B,C,P,P,C,P,P,A,C
