mp_id,nom,parti,axe_economie,axe_societal,patrimoine_classe,V001,V002,V003,V004,V005,V006,V007,V008
1,Camille_Bernard,RE,2,-1,C,P,P,P,C,P,P,A,P
2,Hugo_Legrand,RN,4,4,B,C,C,C,P,C,A,C,N
3,Ines_Morel,LFI,-5,-3,A,C,C,P,C,C,P,P,C
4,Yanis_Dubois,LR,2,3,E,P,C,C,P,P,C,A,P
5,Sarah_Nguyen,PS,-2,-2,B,C,P,P,C,P,P,A,C
6,Nolan_Petit,EELV,-3,-4,B,C,P,P,C,P,C,P,C
7,Maya_Diallo,MoDem,1,-1,C,P,P,P,C,P,P,N,P
8,Arthur_Cohen,Horizons,3,1,D,P,P,C,P,P,P,A,P
9,Lina_Garcia,RN,3,4,B,C,C,C,P,C,N,C,C
10,Mehdi_Benali,LFI,-5,-2,A,C,C,P,C,C,P,P,N
11,Chloe_Martin,RE,1,-2,C,P,P,P,C,P,A,A,P
12,Baptiste_Rousseau,LR,2,2,D,P,C,C,P,P,C,N,P
13,Aicha_Traore,PS,-2,-1,B,C,P,P,C,P,P,A,C
14,Noe_Lefevre,EELV,-3,-5,A,C,P,P,C,P,C,P,C
15,Emma_Fournier,RE,2,-1,E,P,P,P,P,P,P,A,P
16,Lucas_Girard,RN,4,4,C,C,C,C,P,C,A,N,C
17,Sofia_Lopez,MoDem,1,-2,B,P,P,P,C,P,P,A,P
18,Rayan_Haddad,Horizons,3,1,D,P,P,C,P,P,P,N,P
19,Manon_Perrin,LR,1,2,C,P,C,C,P,P,C,A,P
20,Jules_Lambert,PS,-1,-2,B,C,P,P,C,P,P,A,C
21,Kevin_Moreau,RE,2,-1,C,P,P,P,C,P,P,A,P
22,Amine_Bouchet,LFI,-4,-2,A,C,C,P,C,C,P,P,A
23,Paul_Renard,LR,2,2,D,P,C,C,P,P,C,A,P
24,Laura_Fontaine,PS,-2,-1,B,C,P,P,C,P,P,A,C
25,Mathieu_Duran,RN,4,4,C,C,C,C,P,C,A,C,N
26,Julien_Basset,RE,1,-2,C,P,P,P,C,P,A,A,P
27,Nadia_Said,EELV,-3,-4,B,C,P,P,C,P,C,P,C
28,Thomas_Colin,Horizons,3,1,D,P,P,C,P,P,P,A,P
29,Farid_Khellaf,PS,-1,-2,B,C,P,P,C,P,P,A,C
30,Antoine_Guillot,LR,1,2,C,P,C,C,P,P,C,A,P
31,Isabelle_Roux,MoDem,1,-1,B,P,P,P,C,P,P,N,P
32,Victor_Pinel,RE,2,-1,D,P,P,P,P,P,P,A,P
33,Samir_Ouali,LFI,-5,-3,A,C,C,P,C,C,P,P,C
34,Helene_Carlier,PS,-2,-2,B,C,P,P,C,P,P,A,C
35,Adrien_Marchand,LR,2,3,D,P,C,C,P,P,C,A,P
36,Karim_Ziani,RN,4,4,C,C,C,C,P,C,N,C,C
37,Lucie_Baron,EELV,-3,-5,A,C,P,P,C,P,C,P,C
38,Maxime_Tissot,RE,1,-2,C,P,P,P,C,P,A,A,P
39,Mourad_Elhadj,MoDem,1,-2,B,P,P,P,C,P,P,A,P
40,Claire_Dumas,Horizons,3,1,E,P,P,C,P,P,P,N,P
